% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 8 2026, 15:19
% Dimension:          0
% Nodes:              3601
% Expressions:        6
% Description:        Point Probe 1, , , , Open-circuit cell voltage, Battery cell state of charge
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)           soc_cell (1)
0                         0.1                      330                      4.278597726169655        0.49782155022043484      -7066476.191979859       0                        4.297095948607728        0.9908333333333337
0                         0.1                      340                      4.277722995034179        0.49782155022043484      -7280638.850580224       0                        4.296252575964374        0.9905555555555556
0                         0.1                      350                      4.276851776339564        0.49782155022043484      -7494801.509180543       0                        4.29540920332102         0.9902777777777781
0                         0.1                      360                      4.275984070085807        0.49782155022043484      -7708964.1677808575      0                        4.294565830677666        0.9900000000000003
0                         0.1                      370                      4.27511987627291         0.49782155022043484      -7923126.826381221       0                        4.293722458034312        0.9897222222222226
0                         0.1                      380                      4.274259194900874        0.49782155022043484      -8137289.484981537       0                        4.292879085390957        0.9894444444444447
0                         0.1                      390                      4.273402025969696        0.49782155022043484      -8351452.143581836       0                        4.2920357127476025       0.9891666666666666
0                         0.1                      400                      4.272544038826819        0.49782155022043484      -8565614.802182145       0                        4.291192340104248        0.9888888888888892
0                         0.1                      410                      4.271687126553462        0.49782155022043484      -8779777.460782524       0                        4.290348967460894        0.9886111111111113
0                         0.1                      420                      4.270832222604358        0.49782155022043484      -8993940.119382815       0                        4.289505594817539        0.9883333333333336
0                         0.1                      430                      4.2699793269795085       0.49782155022043484      -9208102.777983164       0                        4.288662222174185        0.9880555555555557
0                         0.1                      440                      4.269128439678915        0.49782155022043484      -9422265.43658351        0                        4.287818849530831        0.9877777777777779
0                         0.1                      450                      4.268279560702574        0.49782155022043484      -9636428.095183806       0                        4.286975476887476        0.9875000000000004
0                         0.1                      460                      4.267431466054296        0.49782155022043484      -9850590.753784163       0                        4.286132104244123        0.9872222222222226
0                         0.1                      470                      4.266582911963532        0.49782155022043484      -1.0064753412384486E7    0                        4.285288731600769        0.9869444444444448
0                         0.1                      480                      4.265735465723113        0.49782155022043484      -1.02789160709848E7      0                        4.284445358957414        0.9866666666666667
0                         0.1                      490                      4.264889127333039        0.49782155022043484      -1.049307872958515E7     0                        4.28360198631406         0.9863888888888891
0                         0.1                      500                      4.264043896793312        0.49782155022043484      -1.0707241388185475E7    0                        4.282758613670706        0.9861111111111114
0                         0.1                      510                      4.263199774103929        0.49782155022043484      -1.0921404046785792E7    0                        4.2819152410273515       0.9858333333333336
0                         0.1                      520                      4.262356759264891        0.49782155022043484      -1.1135566705386136E7    0                        4.281071868383997        0.9855555555555559
0                         0.1                      530                      4.261656712419105        0.49782155022043484      -1.1349729363986492E7    0                        4.2802284957406425       0.9852777777777781
0                         0.1                      540                      4.2609961472517215       0.49782155022043484      -1.1563892022586819E7    0                        4.279385123097288        0.9850000000000003
0                         0.1                      550                      4.260375039219965        0.49782155022043484      -1.1778054681187088E7    0                        4.278541750453934        0.9847222222222226
0                         0.1                      560                      4.259793388323834        0.49782155022043484      -1.199221733978747E7     0                        4.27769837781058         0.9844444444444447
0                         0.1                      570                      4.259251194563328        0.49782155022043484      -1.220637999838778E7     0                        4.276855005167226        0.9841666666666669
0                         0.1                      580                      4.2587484579384505       0.49782155022043484      -1.242054265698812E7     0                        4.276011632523871        0.9838888888888891
0                         0.1                      590                      4.258285178449198        0.49782155022043484      -1.2634705315588512E7    0                        4.275168259880517        0.9836111111111113
0                         0.1                      600                      4.257861356095572        0.49782155022043484      -1.284886797418876E7     0                        4.274324887237162        0.9833333333333336
0                         0.1                      610                      4.257476990877572        0.49782155022043484      -1.3063030632789109E7    0                        4.273481514593808        0.9830555555555558
0                         0.1                      620                      4.257132082795198        0.49782155022043484      -1.327719329138941E7     0                        4.272638141950454        0.9827777777777781
0                         0.1                      630                      4.25682663184845         0.49782155022043484      -1.349135594998978E7     0                        4.271794769307099        0.9825000000000004
0                         0.1                      640                      4.256560638037329        0.49782155022043484      -1.3705518608590078E7    0                        4.270951396663746        0.9822222222222223
0                         0.1                      650                      4.256287118575125        0.49782155022043484      -1.3919681267190402E7    0                        4.2701080240203915       0.9819444444444448
0                         0.1                      660                      4.255843187167255        0.49782155022043484      -1.4133843925790766E7    0                        4.2692646513770365       0.981666666666667
0                         0.1                      670                      4.2554025355564935       0.49782155022043484      -1.4348006584391057E7    0                        4.268421278733683        0.9813888888888891
0                         0.1                      680                      4.254965163742843        0.49782155022043484      -1.4562169242991334E7    0                        4.267577906090328        0.9811111111111114
0                         0.1                      690                      4.2545310717263          0.49782155022043484      -1.4776331901591713E7    0                        4.266734533446974        0.9808333333333336
0                         0.1                      700                      4.254100259506868        0.49782155022043484      -1.4990494560192049E7    0                        4.26596045517164         0.9805555555555558
0                         0.1                      710                      4.253672727084544        0.49782155022043484      -1.5204657218792407E7    0                        4.265530054563237        0.980277777777778
0                         0.1                      720                      4.25324847445933         0.49782155022043484      -1.5418819877392737E7    0                        4.2651001910412045       0.9800000000000003
0                         0.1                      730                      4.252827501631225        0.49782155022043484      -1.5632982535993049E7    0                        4.264671662923744        0.9797222222222224
0                         0.1                      740                      4.25240980860023         0.49782155022043484      -1.5847145194593403E7    0                        4.264243134806286        0.9794444444444446
0                         0.1                      750                      4.251995395366344        0.49782155022043484      -1.6061307853193734E7    0                        4.263814606688825        0.9791666666666669
0                         0.1                      760                      4.251584261929568        0.49782155022043484      -1.6275470511793995E7    0                        4.263386078571366        0.9788888888888893
0                         0.1                      770                      4.2511764082899015       0.49782155022043484      -1.648963317039439E7     0                        4.262957550453906        0.9786111111111113
0                         0.1                      780                      4.25076357200134         0.49782155022043484      -1.6703795828994676E7    0                        4.262529022336446        0.9783333333333336
0                         0.1                      790                      4.25033931597766         0.49782155022043484      -1.6917958487595044E7    0                        4.262100494218987        0.9780555555555558
0                         0.1                      800                      4.249915059953981        0.49782155022043484      -1.713212114619537E7     0                        4.2616719661015265       0.9777777777777781
0                         0.1                      810                      4.2494908039303025       0.49782155022043484      -1.7346283804795705E7    0                        4.261243437984066        0.9775000000000003
0                         0.1                      820                      4.249066547906623        0.49782155022043484      -1.7560446463396013E7    0                        4.260814909866608        0.9772222222222225
0                         0.1                      830                      4.248642291882944        0.49782155022043484      -1.777460912199633E7     0                        4.260386381749147        0.9769444444444448
0                         0.1                      840                      4.2482180358592645       0.49782155022043484      -1.7988771780596685E7    0                        4.259957853631687        0.976666666666667
0                         0.1                      850                      4.247793779835585        0.49782155022043484      -1.8202934439197004E7    0                        4.259529325514228        0.9763888888888893
0                         0.1                      860                      4.247369523811906        0.49782155022043484      -1.841709709779739E7     0                        4.259100797396768        0.9761111111111115
0                         0.1                      870                      4.2469452677882265       0.49782155022043484      -1.8631259756397724E7    0                        4.258672269279309        0.9758333333333336
0                         0.1                      880                      4.246521011764547        0.49782155022043484      -1.8845422414998062E7    0                        4.258243741161849        0.9755555555555558
0                         0.1                      890                      4.246096755740869        0.49782155022043484      -1.905958507359839E7     0                        4.257815213044388        0.975277777777778
0                         0.1                      900                      4.245672499717189        0.49782155022043484      -1.9273747732198738E7    0                        4.25738668492693         0.9750000000000003
0                         0.1                      910                      4.2452483535861925       0.49782155022043484      -1.948791039079909E7     0                        4.256958156809469        0.9747222222222225
0                         0.1                      920                      4.244824280778057        0.49782155022043484      -1.970207304939935E7     0                        4.25652962869201         0.9744444444444448
0                         0.1                      930                      4.244400207969921        0.49782155022043484      -1.9916235707999714E7    0                        4.25610110057455         0.9741666666666671
0                         0.1                      940                      4.243976135161786        0.49782155022043484      -2.013039836660007E7     0                        4.255672572457089        0.9738888888888892
0                         0.1                      950                      4.24355206235365         0.49782155022043484      -2.0344561025200352E7    0                        4.255244044339631        0.9736111111111115
0                         0.1                      960                      4.243127989545514        0.49782155022043484      -2.055872368380073E7     0                        4.254815516222171        0.9733333333333336
0                         0.1                      970                      4.242703916737378        0.49782155022043484      -2.0772886342401084E7    0                        4.254386988104711        0.9730555555555558
0                         0.1                      980                      4.242279843929243        0.49782155022043484      -2.0987049001001447E7    0                        4.253958459987251        0.9727777777777779
0                         0.1                      990                      4.241855771121108        0.49782155022043484      -2.120121165960169E7     0                        4.2535299318697914       0.9725000000000003
0                         0.1                      1000                     4.241431698312971        0.49782155022043484      -2.1415374318202037E7    0                        4.253101403752332        0.9722222222222225
0                         0.1                      1010                     4.241007625504836        0.49782155022043484      -2.1629536976802424E7    0                        4.252672875634872        0.9719444444444447
0                         0.1                      1020                     4.2405835526967          0.49782155022043484      -2.1843699635402717E7    0                        4.252244347517412        0.9716666666666668
0                         0.1                      1030                     4.240159479888565        0.49782155022043484      -2.2057862294003043E7    0                        4.251815819399953        0.9713888888888893
0                         0.1                      1040                     4.2397354070804285       0.49782155022043484      -2.2272024952603422E7    0                        4.251387291282493        0.9711111111111115
0                         0.1                      1050                     4.239311334272293        0.49782155022043484      -2.2486187611203726E7    0                        4.250958763165033        0.9708333333333338
0                         0.1                      1060                     4.238887261464157        0.49782155022043484      -2.2700350269803982E7    0                        4.250530235047573        0.9705555555555558
0                         0.1                      1070                     4.238463188656022        0.49782155022043484      -2.2914512928404406E7    0                        4.2501017069301135       0.970277777777778
0                         0.1                      1080                     4.2380391158478865       0.49782155022043484      -2.312867558700473E7     0                        4.249673178812654        0.9700000000000003
0                         0.1                      1090                     4.23761504303975         0.49782155022043484      -2.3342838245604984E7    0                        4.249244650695194        0.9697222222222225
0                         0.1                      1100                     4.237190970231615        0.49782155022043484      -2.3557000904205307E7    0                        4.248816122577734        0.9694444444444448
0                         0.1                      1110                     4.236766897423479        0.49782155022043484      -2.3771163562805682E7    0                        4.248387594460274        0.969166666666667
0                         0.1                      1120                     4.236342824615344        0.49782155022043484      -2.398532622140605E7     0                        4.247959066342815        0.9688888888888892
0                         0.1                      1130                     4.2359187518072074       0.49782155022043484      -2.4199488880006343E7    0                        4.247530538225355        0.9686111111111113
0                         0.1                      1140                     4.235494678999072        0.49782155022043484      -2.44136515386067E7      0                        4.247102010107895        0.9683333333333337
0                         0.1                      1150                     4.235070606190936        0.49782155022043484      -2.4627814197207004E7    0                        4.246674898932114        0.9680555555555558
0                         0.1                      1160                     4.234646533382801        0.49782155022043484      -2.484197685580737E7     0                        4.246247838950386        0.9677777777777781
0                         0.1                      1170                     4.234222844618471        0.49782155022043484      -2.5056139514407773E7    0                        4.245820778968658        0.9675000000000002
0                         0.1                      1180                     4.233799155930965        0.49782155022043484      -2.5270302173008032E7    0                        4.24539371898693         0.9672222222222225
0                         0.1                      1190                     4.23337546724346         0.49782155022043484      -2.5484464831608333E7    0                        4.244966659005202        0.9669444444444447
