time/s;current/A;battery voltage/V
50344.7435821282;-17.897256;3.3240299
50400.7435822325;-17.931193;3.3242304
50401.7435822343;-17.893863;3.323679
50402.7435822362;-17.904043;3.3237293
50403.743582238;-18.033002;3.3242304
50404.7435822399;-17.924406;3.3241301
50405.7435822418;-17.944768;3.3236289
50472.7435823666;-17.907438;3.3241301
50473.7435823684;-17.975311;3.3235788
50525.7435824653;-17.995672;3.3242304
50526.7435824672;-18.012641;3.3235288
50574.7435825566;-17.914225;3.3238294
50575.7435825584;-18.009248;3.3243306
50586.7435825789;-18.009248;3.3237293
50587.7435825808;-17.931193;3.3242805
50591.7435825882;-18.005854;3.3237793
50592.7435825901;-17.954947;3.324481
50600.743582605;-17.958344;3.3237293
50601.7435826069;-17.866713;3.3242304
50656.7435827093;-18.026215;3.3243806
50657.7435827112;-17.887076;3.3238795
50691.7435827745;-17.931193;3.3241301
50692.7435827764;-17.849746;3.3246815
50693.7435827782;-18.148387;3.3241301
50704.7435827987;-17.904043;3.32408
50705.7435828006;-18.046578;3.3245811
50706.7435828024;-17.8735;3.32408
50711.7435828117;-18.019428;3.3246815
50712.7435828136;-17.951555;3.3241301
50726.7435828397;-17.941373;3.3238294
50727.7435828415;-17.968523;3.3243306
50733.7435828527;-18.033002;3.3241301
50734.7435828546;-17.917619;3.3247316
50735.7435828564;-18.022822;3.3240299
50747.7435828788;-17.829383;3.3239799
50748.7435828807;-17.921012;3.324481
50766.7435829142;-17.914225;3.32408
50767.7435829161;-18.002459;3.3245811
50769.7435829198;-18.026215;3.3247316
50770.7435829216;-18.097482;3.3241801
50779.7435829384;-17.849746;3.3241301
50780.7435829403;-17.985492;3.3246815
50803.7435829831;-17.914225;3.3247817
50804.743582985;-17.880287;3.3241301
50806.7435829887;-17.965131;3.3240299
50807.7435829906;-17.954947;3.3245811
50809.7435829943;-17.944768;3.3245311
50810.7435829961;-17.995672;3.3237793
50811.743582998;-18.019428;3.3243806
50836.7435830446;-17.961734;3.3240299
50837.7435830464;-17.968523;3.3245311
50852.7435830744;-17.883682;3.3243306
50853.7435830762;-18.012641;3.3237793
50854.7435830781;-17.965131;3.3243306
50871.7435831098;-17.999066;3.3248818
50872.7435831116;-18.012641;3.3243306
50899.7435831619;-17.856533;3.32408
50900.7435831638;-17.958344;3.3246815
50947.7435832513;-18.026215;3.3248818
50948.7435832532;-17.958344;3.3242304
50970.7435832942;-17.954947;3.3247817
50971.743583296;-17.978705;3.3242304
51012.7435833724;-17.971918;3.3246312
51013.7435833743;-17.988885;3.3241301
51014.7435833761;-17.951555;3.3246312
51015.743583378;-17.876896;3.3249321
51016.7435833799;-17.971918;3.3244309
51032.7435834097;-17.86332;3.3241801
51033.7435834115;-17.870107;3.3247316
51071.7435834823;-17.999066;3.3242805
51072.7435834842;-17.975311;3.3247817
51103.7435835419;-17.907438;3.3247316
51104.7435835438;-17.999066;3.3242304
51111.7435835568;-18.100875;3.3248317
51112.7435835587;-17.968523;3.3243306
51118.7435835698;-18.005854;3.3243306
51119.7435835717;-17.958344;3.3248317
51157.7435836425;-17.961734;3.3242805
51158.7435836443;-18.060152;3.3248317
51227.7435837729;-17.93798;3.3250322
51228.7435837747;-17.785266;3.3245311
51271.7435838548;-17.978705;3.3246312
51272.7435838567;-17.968523;3.3251324
51273.7435838586;-18.009248;3.3244309
51312.7435839312;-17.965131;3.324481
51313.7435839331;-17.944768;3.3249822
51319.7435839442;-17.914225;3.3245811
51320.7435839461;-17.883682;3.3253832
51321.743583948;-17.982098;3.3246312
51383.7435840634;-17.893863;3.3248818
51384.7435840653;-17.90065;3.3243806
51413.7435841193;-18.046578;3.3248317
51414.7435841212;-17.853139;3.3243306
51415.743584123;-17.982098;3.3248317
51465.7435842162;-17.985492;3.3243806
51466.743584218;-18.053363;3.3249321
51540.7435843559;-18.002459;3.3243806
51541.7435843577;-17.982098;3.3252828
51580.7435844304;-18.111057;3.3248818
51581.7435844322;-18.063545;3.3243306
51582.7435844341;-18.049971;3.3250322
51583.743584436;-17.954947;3.3247817
51584.7435844378;-18.128025;3.3253329
51585.7435844397;-18.080516;3.3247817
51604.7435844751;-17.941373;3.3247316
51605.7435844769;-17.941373;3.3252327
51626.7435845161;-17.999066;3.3248818
51627.7435845179;-18.002459;3.3243806
51628.7435845198;-17.876896;3.3251827
51647.7435845552;-17.965131;3.3245311
51648.743584557;-17.971918;3.3250322
51656.7435845719;-18.026215;3.3251324
51657.7435845738;-18.070332;3.3246312
51747.7435847414;-17.856533;3.3248317
51748.7435847433;-17.91083;3.3253832
51781.7435848048;-17.941373;3.3246312
51782.7435848066;-17.951555;3.3251324
51783.7435848085;-17.951555;3.3243806
51834.7435849035;-17.975311;3.3246815
