time/s;current/A;battery voltage/V
111815.527663377;180.03092;3.2282541
111819.527662439;179.9257;3.2283044
111820.527662204;180.07164;3.2278032
111821.527661969;180.07505;3.2283545
111851.527654858;180.092;3.2278032
111852.527654619;180.00038;3.2283545
111870.527650371;180.07841;3.2276528
111871.527650137;180.02413;3.2281539
111883.52764732;180.04109;3.2281539
111884.527647086;180.07164;3.2272518
111885.527646851;180.03769;3.2279034
111907.527641605;180.13613;3.2275527
111908.527641367;180.12933;3.2270513
111914.527639947;180.11236;3.2280035
111915.527639712;180.01733;3.2274022
111952.527630976;180.11236;3.2272518
111953.527630737;180.08859;3.2266505
112000.527619631;180.04788;3.2259989
112001.527619392;180.07164;3.226851
112002.527619154;180.24131;3.2261493
112010.527617247;180.13272;3.2257984
112011.527617008;180.11914;3.2262995
112021.527614639;180.03092;3.2261994
112022.527614405;180.00716;3.2256982
112023.52761417;180.03431;3.2262495
112024.527613935;180.08181;3.2256982
112037.527610884;180.04109;3.2253973
112038.52761065;180.04788;3.2258987
112046.527608762;180.01733;3.2256482
112047.527608524;180.02413;3.2261994
112048.527608285;179.99697;3.2256982
112087.527599051;180.09541;3.2245955
112088.527598817;180.12594;3.2251971
112135.527587689;180.06823;3.2241945
112136.527587454;179.95964;3.2232423
112137.527587219;180.1463;3.224395
112138.527586985;179.95625;3.2234428
112146.527585107;180.03769;3.2238939
112147.527584872;180.09877;3.2233427
112177.527577734;180.02752;3.2232423
112178.5275775;180.07164;3.222641
112179.527577265;180.06823;3.2231421
112193.527573979;180.08522;3.223042
112194.527573745;180.01733;3.2221899
112195.52757351;180.15648;3.2228415
112229.527565433;180.01056;3.2214882
112230.527565198;180.01733;3.2220395
112239.527563086;179.9868;3.220937
112240.527562851;179.97322;3.2215884
112272.527555277;180.00377;3.2209871
112273.527555039;180.11577;3.2202854
112291.527550785;180.05469;3.2199848
112292.52755055;180.09541;3.2204859
112294.527550081;179.95286;3.2205861
112295.527549846;180.092;3.2199347
112311.527546079;180.1972;3.2199848
112312.52754584;180.07505;3.2194836
112313.527545602;180.11914;3.2195337
112314.527545363;180.06486;3.2200348
112364.527533541;180.01733;3.2178297
112365.527533303;179.92909;3.2184811
112367.527532826;180.0445;3.2183809
112368.527532588;180.10217;3.2178798
112401.527524773;180.03431;3.217128
112402.527524538;179.94945;3.2176793
112408.52752313;180.03769;3.2172782
112409.527522896;179.95286;3.2167771
112497.527502048;180.08522;3.2142713
112498.527501813;180.21756;3.2148225
112502.527500874;179.94606;3.2148726
112503.52750064;180.18364;3.2142713
112509.527499232;180.02073;3.2144215
112510.527498997;180.03092;3.2139204
112514.527498058;179.99358;3.2137198
112515.527497823;179.98341;3.214221
112562.527486695;179.92233;3.2124169
112563.527486461;180.15308;3.2130685
112597.527478388;180.06145;3.2114146
112598.527478149;180.02073;3.2119658
112601.527477445;179.96983;3.2118154
112602.52747721;180.02752;3.2111137
112603.527476975;180.01394;3.2118657
112615.527474159;180.07505;3.2114646
112616.527473924;180.06823;3.2109635
112619.52747322;180.20739;3.2108631
112620.527472985;180.04788;3.2113643
112632.527470142;180.11914;3.2110136
112633.527469903;180.03431;3.2105124
112696.527454982;179.9325;3.2092595
112697.527454743;180.09541;3.208708
112744.527443636;180.10897;3.2080567
112745.527443398;180.07164;3.2074552
112748.527442683;180.01056;3.2075052
112749.527442444;180.04109;3.2080064
112799.527430622;180.23113;3.2067535
112800.527430384;180.09877;3.2062523
112803.527429669;180.01056;3.2067535
112804.52742943;180.07505;3.2062023
