state-of-charge;open-circuit voltage/V
0.00591;2.74159303607105
0.00592;2.74178927740479
0.00593;2.74198551873853
0.00594;2.74218176007227
0.00595;2.74237800140601
0.00596;2.74257424273975
0.00597;2.74277048407349
0.00598;2.74296672540723
0.00599;2.74316296674097
0.006;2.74335920807471
0.00601;2.74355544940846
0.00602;2.7437516907422
0.00603;2.74394793207594
0.00604;2.74414417340968
0.00605;2.74434041474342
0.00606;2.74453665607716
0.00607;2.7447328974109
0.00608;2.74492913874464
0.00609;2.74512538007838
0.0061;2.74532162141212
0.00611;2.74551786274586
0.00612;2.7457141040796
0.00613;2.74591034541334
0.00614;2.74610658674708
0.00615;2.74630282808082
0.00616;2.74649906941456
0.00617;2.7466953107483
0.00618;2.74689155208204
0.00619;2.74708779341578
0.0062;2.74728403474952
0.00621;2.74748027608326
0.00622;2.747676517417
0.00623;2.74787275875074
0.00624;2.74806900008448
0.00625;2.74826524141822
0.00626;2.74846148275196
0.00627;2.7486577240857
0.00628;2.74885396541944
0.00629;2.74905020675318
0.0063;2.74924644808692
0.00631;2.74944268942066
0.00632;2.7496389307544
0.00633;2.74983517208814
0.00634;2.75003141342189
0.00635;2.75022765475563
0.00636;2.75042389608937
0.00637;2.75062013742311
0.00638;2.75081637875685
0.00639;2.75101262009059
0.0064;2.75120886142433
0.00641;2.75140510275807
0.00642;2.75160134409181
0.00643;2.75179758542555
0.00644;2.75199382675929
0.00645;2.75219006809303
0.00646;2.75238630942677
0.00647;2.75258255076051
0.00648;2.75277879209425
0.00649;2.75297503342799
0.0065;2.75317127476173
0.00651;2.75336751609547
0.00652;2.75356375742921
0.00653;2.75375999876295
0.00654;2.75395624009669
0.00655;2.75415248143043
0.00656;2.75434872276417
0.00657;2.75454496409791
0.00658;2.75474120543165
0.00659;2.75493744676539
0.0066;2.75513368809913
0.00661;2.75532992943287
0.00662;2.75552617076661
0.00663;2.75572241210035
0.00664;2.75591334443636
0.00665;2.75609684366309
0.00666;2.75628034288982
0.00667;2.75646384211655
0.00668;2.75664734134327
0.00669;2.75683084057
0.0067;2.75701433979673
0.00671;2.75719783902346
0.00672;2.75738159272184
0.00673;2.75756538816948
0.00674;2.75774918361713
0.00675;2.75793297906477
0.00676;2.75811677451241
0.00677;2.75830056996005
0.00678;2.75848436540769
0.00679;2.75866816085533
0.0068;2.75885195630298
0.00681;2.75903575175062
0.00682;2.75921954719826
0.00683;2.7594033426459
0.00684;2.75958713809354
0.00685;2.75977093354118
0.00686;2.75995472898883
0.00687;2.76013852443647
0.00688;2.76032231988411
0.00689;2.76050611533175
0.0069;2.76068991077939
0.00691;2.76087370622703
0.00692;2.76105750167468
0.00693;2.76124129712232
0.00694;2.76142509256996
0.00695;2.7616088880176
0.00696;2.76179268346524
0.00697;2.76197647891288
0.00698;2.76216027436053
0.00699;2.76234406980817
0.007;2.76252786525581
0.00701;2.76271166070345
0.00702;2.76289545615109
0.00703;2.76307925159873
0.00704;2.76326304704638
0.00705;2.76344684249402
0.00706;2.76363063794166
0.00707;2.7638144333893
0.00708;2.76399822883694
0.00709;2.76418202428458
0.0071;2.76436581973223
0.00711;2.76454961517987
0.00712;2.76473341062751
0.00713;2.76491720607515
0.00714;2.76510100152279
0.00715;2.76528479697043
0.00716;2.76546859241807
0.00717;2.76565238786572
0.00718;2.76583618331336
0.00719;2.766019978761
0.0072;2.76620377420864
0.00721;2.76638756965628
0.00722;2.76657136510392
0.00723;2.76675516055157
0.00724;2.76693895599921
0.00725;2.76712275144685
0.00726;2.76730654689449
0.00727;2.76749034234213
0.00728;2.76767413778977
0.00729;2.76785793323742
0.0073;2.76804172868506
0.00731;2.7682255241327
0.00732;2.76840931958034
0.00733;2.76859311502798
0.00734;2.76877691047563
0.00735;2.76896070592327
0.00736;2.76914450137091
0.00737;2.76932829681855
0.00738;2.76951209226619
0.00739;2.76969588771383
0.0074;2.76987968316147
0.00741;2.77006347860912
0.00742;2.77024727405676
0.00743;2.7704310695044
0.00744;2.77061486495204
0.00745;2.77079866039968
0.00746;2.77098245584732
0.00747;2.77116625129497
0.00748;2.77135004674261
0.00749;2.77153384219025
0.0075;2.77171763763789
0.00751;2.77190143308553
0.00752;2.77208522853317
0.00753;2.77226902398082
0.00754;2.77245281942846
0.00755;2.7726366148761
0.00756;2.77282041032374
0.00757;2.77300420577138
0.00758;2.77318800121902
0.00759;2.77337179666667
0.0076;2.77355559211431
0.00761;2.77373938756195
0.00762;2.77392318300959
0.00763;2.77410697845723
0.00764;2.77429077390487
0.00765;2.7744695511805
0.00766;2.77464760315991
0.00767;2.77482565513933
0.00768;2.77500370711874
0.00769;2.77518175909816
0.0077;2.77535981107757
0.00771;2.77553786305699
0.00772;2.7757159150364
0.00773;2.77589396701582
0.00774;2.77607201899523
0.00775;2.77625007097465
0.00776;2.77642812295406
0.00777;2.77660617493348
0.00778;2.77678422691289
0.00779;2.77696227889231
0.0078;2.77714033087172
0.00781;2.77731838285114
0.00782;2.77749643483055
0.00783;2.77767448680997
0.00784;2.77785253878938
0.00785;2.7780305907688
0.00786;2.77820864274821
0.00787;2.77838669472763
0.00788;2.77856474670704
0.00789;2.77874279868646
0.0079;2.77892085066587
0.00791;2.77909890264529
