,I,co,cn,c-dot,dt
60,0.25,29412.11130470938,29415.14007253547,1.5894981910974149,2.0007611428628636
61,0.25,29415.14007253547,29418.20819532505,1.6101516867937171,2.0007611428628636
62,0.25,29418.20819532505,29421.311468449763,1.6285985923817787,2.0007611428628636
63,0.25,29421.311468449763,29424.445687281324,1.644838907862054,2.0007611428628636
64,0.25,29424.445687281324,29427.606647191347,1.6588726332328156,2.0007611428628636
65,0.25,29427.606647191347,29430.79014355153,1.6706997684957001,2.0007611428628636
66,0.25,29430.79014355153,29433.991971733547,1.6803203136505256,2.0007611428628636
67,0.25,29433.991971733547,29437.20792710905,1.6877342686970194,2.0007611428628636
68,0.25,29437.20792710905,29440.433805049735,1.6929416336353633,2.0007611428628636
69,0.25,29440.433805049735,29443.66540092725,1.6959424084650117,2.0007611428628636
70,0.25,29443.66540092725,29446.898510113264,1.6967365931861464,2.0007611428628636
71,0.25,29446.898510113264,29450.128927979462,1.6953241877989496,2.0007611428628636
72,0.25,29450.128927979462,29453.352449897506,1.6917051923045119,2.0007611428628636
73,0.25,29453.352449897506,29456.56487123906,1.6858796066997426,2.0007611428628636
74,0.25,29456.56487123906,29459.761987375794,1.6778474309876412,2.0007611428628636
75,0.25,29459.761987375794,29462.93959583714,1.6676097975597426,2.0007611428628636
76,0.25,29462.93959583714,29466.111470801694,1.6646008568625168,2.0007611428628636
77,0.25,29466.111470801694,29469.293281011443,1.669814876279901,2.0007611428628636
78,0.25,29469.293281011443,29472.484800763086,1.674910446547657,2.0007611428628636
