u_par;C;t;V;I;F;u;Ue;soc;eta;pulse;trajectory
0;0.32063301091573715;2999.833287024174;3.6889741118306203;0.32063301091573715;0;0;3.744811640206772;0.7328206724822797;0.055837528376151635;False;4
0;0.32063301091573715;3000.8335648791335;3.6889526658053455;0.32063301091573715;0;0;3.744794433812602;0.7327315830099497;0.05584176800725649;False;4
0;0.32063301091573715;3001.833842734093;3.6889312168641206;0.32063301091573715;0;0;3.744777223299149;0.7326424935376197;0.05584600643502835;False;4
0;0.32063301091573715;3002.834120589053;3.6889097649864873;0.32063301091573715;0;0;3.7447600086085697;0.7325534040652897;0.05585024362208246;False;4
0;0.32063301091573715;3003.8343984440125;3.6888883100869894;0.32063301091573715;0;0;3.7447427896828227;0.7324643145929597;0.05585447959583334;False;4
0;0.32063301091573715;3004.834676298972;3.688866852128072;0.32063301091573715;0;0;3.7447255664636794;0.7323752251206297;0.055858714335607296;False;4
0;0.32063301091573715;3005.834954153932;3.6888453910571473;0.32063301091573715;0;0;3.744708338892722;0.7322861356482997;0.05586294783557477;False;4
0;0.32063301091573715;3006.8352320088916;3.6888239267973306;0.32063301091573715;0;0;3.7446911069113233;0.7321970461759697;0.05586718011399272;False;4
0;0.32063301091573715;3007.8355098638513;3.688802459313836;0.32063301091573715;0;0;3.7446738704606757;0.7321079567036397;0.05587141114683947;False;4
0;0.32063301091573715;3008.835787718811;3.688780988539264;0.32063301091573715;0;0;3.7446566294817663;0.7320188672313096;0.05587564094250208;False;4
0;0.32063301091573715;3009.8360655737706;3.688759514430405;0.32063301091573715;0;0;3.744639383915392;0.7319297777589796;0.05587986948498713;False;4
0;0.32063301091573715;3010.8363434287303;3.68873803689638;0.32063301091573715;0;0;3.744622133702153;0.7318406882866496;0.055884096805773;False;4
0;0.32063301091573715;3011.83662128369;3.6887165559238166;0.32063301091573715;0;0;3.7446048787824466;0.7317515988143196;0.05588832285862999;False;4
0;0.32063301091573715;3012.8368991386496;3.6886950714186137;0.32063301091573715;0;0;3.744587619096477;0.7316625093419896;0.055892547677863114;False;4
0;0.32063301091573715;3013.83717699361;3.688673583347737;0.32063301091573715;0;0;3.7445703545842473;0.7315734198696595;0.05589677123651038;False;4
0;0.32063301091573715;3014.8374548485695;3.6886520916287013;0.32063301091573715;0;0;3.744553085185567;0.7314843303973295;0.05590099355686551;False;4
0;0.32063301091573715;3015.837732703529;3.6886305962289896;0.32063301091573715;0;0;3.7445358108400395;0.7313952409249995;0.055905214611049914;False;4
0;0.32063301091573715;3016.838010558489;3.6886090970788565;0.32063301091573715;0;0;3.7445185314870706;0.7313061514526695;0.055909434408214054;False;4
0;0.32063301091573715;3017.8382884134485;3.6885875941081823;0.32063301091573715;0;0;3.7445012470658705;0.7312170619803395;0.05591365295768824;False;4
0;0.32063301091573715;3018.838566268408;3.6885660872656914;0.32063301091573715;0;0;3.7444839575154423;0.7311279725080095;0.05591787024975092;False;4
0;0.32063301091573715;3019.838844123368;3.688544576490868;0.32063301091573715;0;0;3.7444666627745886;0.7310388830356795;0.05592208628372042;False;4
