(r,x,t)             variable
(686,)            	 X-averaged positive electrolyte transport efficiency
(130, 686)        	 Electrode transport efficiency
(50, 686)         	 Negative electrode transport efficiency
(686,)            	 X-averaged negative electrode transport efficiency
(30, 686)         	 Separator electrode transport efficiency
(686,)            	 X-averaged separator electrode transport efficiency
(50, 686)         	 Positive electrode transport efficiency
(686,)            	 X-averaged positive electrode transport efficiency
(30, 686)         	 Separator volume-averaged velocity [m.s-1]
(30, 686)         	 Separator volume-averaged acceleration [m.s-2]
(686,)            	 X-averaged separator volume-averaged acceleration [m.s-2]
(130, 686)        	 Volume-averaged velocity [m.s-1]
(130, 686)        	 Volume-averaged acceleration [m.s-1]
(686,)            	 X-averaged volume-averaged acceleration [m.s-1]
(130, 686)        	 Pressure [Pa]
(686,)            	 Negative electrode stoichiometry
(686,)            	 Negative electrode volume-averaged concentration
(686,)            	 Negative electrode volume-averaged concentration [mol.m-3]
(686,)            	 Total lithium in primary phase in negative electrode [mol]
(686,)            	 Positive electrode stoichiometry
(686,)            	 Positive electrode volume-averaged concentration
(686,)            	 Positive electrode volume-averaged concentration [mol.m-3]
(686,)            	 Total lithium in primary phase in positive electrode [mol]
(130, 686)        	 Electrolyte concentration concatenation [mol.m-3]
(50, 686)         	 Negative electrolyte concentration [mol.m-3]
(686,)            	 X-averaged negative electrolyte concentration [mol.m-3]
(30, 686)         	 Separator electrolyte concentration [mol.m-3]
(686,)            	 X-averaged separator electrolyte concentration [mol.m-3]
(50, 686)         	 Positive electrolyte concentration [mol.m-3]
(686,)            	 X-averaged positive electrolyte concentration [mol.m-3]
(50, 686)         	 Negative electrolyte concentration [Molar]
(686,)            	 X-averaged negative electrolyte concentration [Molar]
(30, 686)         	 Separator electrolyte concentration [Molar]
(686,)            	 X-averaged separator electrolyte concentration [Molar]
(50, 686)         	 Positive electrolyte concentration [Molar]
(686,)            	 X-averaged positive electrolyte concentration [Molar]
(130, 686)        	 Electrolyte concentration [mol.m-3]
(686,)            	 X-averaged electrolyte concentration [mol.m-3]
(130, 686)        	 Electrolyte concentration [Molar]
(686,)            	 X-averaged electrolyte concentration [Molar]
(686,)            	 Ohmic heating [W.m-3]
(686,)            	 X-averaged Ohmic heating [W.m-3]
(686,)            	 Volume-averaged Ohmic heating [W.m-3]
(686,)            	 Ohmic heating per unit electrode-pair area [W.m-2]
(686,)            	 Ohmic heating [W]
(686,)            	 Irreversible electrochemical heating [W.m-3]
(686,)            	 X-averaged irreversible electrochemical heating [W.m-3]
(686,)            	 Volume-averaged irreversible electrochemical heating [W.m-3]
(686,)            	 Irreversible electrochemical heating per unit electrode-pair area [W.m-2]
(686,)            	 Irreversible electrochemical heating [W]
(686,)            	 Reversible heating [W.m-3]
(686,)            	 X-averaged reversible heating [W.m-3]
(686,)            	 Volume-averaged reversible heating [W.m-3]
(686,)            	 Reversible heating per unit electrode-pair area [W.m-2]
(686,)            	 Reversible heating [W]
(686,)            	 Total heating [W.m-3]
(686,)            	 X-averaged total heating [W.m-3]
(686,)            	 Volume-averaged total heating [W.m-3]
(686,)            	 Total heating per unit electrode-pair area [W.m-2]
(686,)            	 Total heating [W]
(686,)            	 Negative current collector Ohmic heating [W.m-3]
(686,)            	 Positive current collector Ohmic heating [W.m-3]
(686,)            	 Surface total cooling [W.m-3]
(686,)            	 Surface total cooling [W]
(686,)            	 Surface temperature [K]
(686,)            	 Volume-averaged surface temperature [K]
(686,)            	 Environment total cooling [W]
(686,)            	 Current collector current density [A.m-2]
(50, 686)         	 Negative electrode SEI volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged negative electrode resistance [Ohm.m2]
(50, 686)         	 Negative SEI thickness [m]
(686,)            	 X-averaged negative SEI thickness [m]
(686,)            	 Volume-averaged negative SEI thickness [m]
(50, 686)         	 Positive electrode SEI volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode resistance [Ohm.m2]
(50, 686)         	 Positive SEI thickness [m]
(686,)            	 X-averaged positive SEI thickness [m]
(686,)            	 Volume-averaged positive SEI thickness [m]
(50, 686)         	 Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
(50, 686)         	 Negative SEI on cracks thickness [m]
(686,)            	 X-averaged negative SEI on cracks thickness [m]
(686,)            	 Volume-averaged negative SEI on cracks thickness [m]
(50, 686)         	 Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
(50, 686)         	 Positive SEI on cracks thickness [m]
(686,)            	 X-averaged positive SEI on cracks thickness [m]
(686,)            	 Volume-averaged positive SEI on cracks thickness [m]
(50, 686)         	 Negative electrode lithium plating volumetric interfacial current density [A.m-3]
(686,)            	 X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
