u_par;C;t;V;F;u;Ue;soc;I;trajectory;eta
0;1;2163;3.6322639819335336;0.0053076426831298925;0.0;3.6960506895168104;0.3991695556167188;4.978215502204348;11;0.06378670758327676
0;1;2164;3.632093758391141;0.0053101634031496505;0.0;3.695901037366404;0.398891777838941;4.978215502204348;11;0.06380727897526306
0;1;2165;3.631923509720355;0.005312684186102336;0.0;3.6957513852159978;0.3986140000611634;4.978215502204348;11;0.06382787549564295
0;1;2166;3.631753235921176;0.00531520503199137;0.0;3.695601733065592;0.3983362222833854;4.978215502204348;11;0.06384849714441598
0;1;2167;3.631582936993605;0.005317725940820302;0.0;3.695452080915186;0.3980584445056076;4.978215502204348;11;0.06386914392158127
0;1;2168;3.6314126129376407;0.005320246912592767;0.0;3.69530242876478;0.3977806667278297;4.978215502204348;11;0.06388981582713926
0;1;2169;3.631242263753283;0.0053227679473118765;0.0;3.6951527766143744;0.3975028889500521;4.978215502204348;11;0.06391051286109128
0;1;2170;3.6310718894405336;0.0053252890449817965;0.0;3.695003124463968;0.3972251111722744;4.978215502204348;11;0.06393123502343423
0;1;2171;3.630901489999391;0.005327810205605281;0.0;3.6948534723135618;0.3969473333944966;4.978215502204348;11;0.06395198231417076
0;1;2172;3.630731065429856;0.005330331429186295;0.0;3.694703820163157;0.3966695556167188;4.978215502204348;11;0.06397275473330089
0;1;2173;3.6305606157319272;0.005332852715728156;0.0;3.69455416801275;0.396391777838941;4.978215502204348;11;0.06399355228082282
0;1;2174;3.6303901409056065;0.005335374065234531;0.0;3.694404515862344;0.3961140000611631;4.978215502204348;11;0.06401437495673745
0;1;2175;3.6302196409508927;0.005337895477708705;0.0;3.6942548637119383;0.3958362222833856;4.978215502204348;11;0.06403522276104567
0;1;2176;3.630049115867786;0.005340416953154243;0.0;3.694105211561532;0.3955584445056076;4.978215502204348;11;0.06405609569374571
0;1;2177;3.629878565656286;0.005342938491574928;0.0;3.6939555594111257;0.3952806667278299;4.978215502204348;11;0.06407699375483977
0;1;2178;3.629707990316394;0.005345460092973877;0.0;3.69380590726072;0.3950028889500522;4.978215502204348;11;0.0640979169443261
0;1;2179;3.629537389848109;0.005347981757354815;0.0;3.6936562551103145;0.3947251111722742;4.978215502204348;11;0.06411886526220556
0;1;2180;3.629366764251431;0.005350503484721149;0.0;3.693506602959909;0.3944473333944965;4.978215502204348;11;0.06413983870847773
0;1;2181;3.62919611352636;0.005353025275076437;0.0;3.6933569508095023;0.3941695556167188;4.978215502204348;11;0.06416083728314215
0;1;2182;3.629025437672897;0.005355547128424222;0.0;3.6932072986590967;0.3938917778389411;4.978215502204348;11;0.06418186098619971
0;1;2183;3.6288547366910406;0.0053580690447676245;0.0;3.69305764650869;0.3936140000611632;4.978215502204348;11;0.06420290981764953
0;1;2184;3.628684010580792;0.005360591024110744;0.0;3.692907994358284;0.3933362222833853;4.978215502204348;11;0.06422398377749206
0;1;2185;3.628513259342149;0.0053631130664567195;0.0;3.6927583422078785;0.3930584445056077;4.978215502204348;11;0.0642450828657295
0;1;2186;3.6283424829751145;0.005365635171809187;0.0;3.692608690057472;0.3927806667278298;4.978215502204348;11;0.06426620708235742
0;1;2187;3.628171681479687;0.005368157340171518;0.0;3.6924590379070663;0.3925028889500522;4.978215502204348;11;0.06428735642737937
0;1;2188;3.628000854855866;0.0053706795715473534;0.0;3.692309801583856;0.3922251111722742;4.978215502204348;11;0.06430894672798981
0;1;2189;3.627830003103653;0.005373201865940165;0.0;3.6921623216524297;0.3919473333944967;4.978215502204348;11;0.06433231854877697
0;1;2190;3.627659126223047;0.005375724223353313;0.0;3.692014841721004;0.3916695556167187;4.978215502204348;11;0.06435571549795682
0;1;2191;3.6274882242140487;0.005378246643790702;0.0;3.691867361789577;0.3913917778389411;4.978215502204348;11;0.06437913757552849
0;1;2192;3.627317297076657;0.005380769127255292;0.0;3.691719881858151;0.3911140000611631;4.978215502204348;11;0.06440258478149374
0;1;2193;3.627146344810872;0.0053832916737509675;0.0;3.6915724019267255;0.3908362222833855;4.978215502204348;11;0.06442605711585347
0;1;2194;3.626975367416695;0.005385814283280905;0.0;3.691424921995299;0.3905584445056076;4.978215502204348;11;0.06444955457860368
0;1;2195;3.626804364894125;0.005388336955849153;0.0;3.691277442063873;0.3902806667278298;4.978215502204348;11;0.06447307716974793
0;1;2196;3.6266333372431623;0.005390859691458529;0.0;3.6911299621324463;0.390002888950052;4.978215502204348;11;0.06449662488928398
0;1;2197;3.626462284463807;0.005393382490113077;0.0;3.690982482201021;0.3897251111722744;4.978215502204348;11;0.06452019773721407
0;1;2198;3.626291206556058;0.005395905351816081;0.0;3.6908350022695946;0.3894473333944967;4.978215502204348;11;0.06454379571353641
0;1;2199;3.626120103519917;0.005398428276571195;0.0;3.690687522338168;0.3891695556167189;4.978215502204348;11;0.06456741881825101
0;1;2200;3.625948975355383;0.00540095126438164;0.0;3.6905400424067425;0.3888917778389411;4.978215502204348;11;0.06459106705135964
0;1;2201;3.625777840058302;0.005403474313796428;0.0;3.690392562475316;0.3886140000611632;4.978215502204348;11;0.06461472241701438
0;1;2202;3.6256066883682063;0.005405997425556636;0.0;3.6902450825438904;0.3883362222833854;4.978215502204348;11;0.06463839417568407
0;1;2203;3.625435512567325;0.005408520600287525;0.0;3.690097602612464;0.3880584445056077;4.978215502204348;11;0.06466209004513912
0;1;2204;3.625264312655655;0.005411043837991461;0.0;3.689950122681038;0.3877806667278298;4.978215502204348;11;0.06468581002538265
0;1;2205;3.6250930886331982;0.005413567138671771;0.0;3.689802642749612;0.3875028889500519;4.978215502204348;11;0.06470955411641377
0;1;2206;3.624921840499954;0.005416090502330554;0.0;3.6896551628181857;0.3872251111722741;4.978215502204348;11;0.06473332231823159
