R0,R1,C1,k,C,u_per,soc
0.7491181138902903,28.757673501968384,0.987534423828125,2.690575085580349,0.5864,0.27626666666666666,0.103
0.9123378433287144,0.7422960828989744,11.21456640625,2.4899082258343697,0.1286,0.2439333333333333,0.77
0.7562614511698484,0.5755923222750425,11.297330078125,3.420257195830345,0.3362,0.9009,0.555
0.8057733066380024,0.5317590199410915,11.298716796875,2.7896009385585785,0.1842,0.4530333333333333,0.473
0.5850937217473984,28.814536333084106,2.071649658203125,3.0788226053118706,0.9007999999999999,0.6074,0.209
0.7473638281226158,0.5913438741117716,11.32330859375,3.470195084810257,0.5196,0.9448333333333333,0.615
0.8786753751337528,0.7210724055767059,11.227173828125,2.6340804994106293,0.3186,0.38466666666666666,0.764
1.3215198181569576,0.7687501609325409,11.206169921875,2.365918457508087,0.1968,0.15146666666666667,0.966
0.8654216304421425,0.8584360592067242,11.3120869140625,2.3823030292987823,0.2884,0.0042,0.269
0.703386589884758,1.4514719136059284,13.2262470703125,2.8674274682998657,0.9868,0.5042,0.423
0.7156689185649157,0.8738701231777668,12.7481796875,2.8317920863628387,0.9119999999999999,0.48016666666666663,0.442
0.7013983093202114,2.2256391122937202,11.9130576171875,2.786813862621784,0.702,0.4101666666666667,0.307
0.680893287062645,28.770673274993896,0.5630637817382812,3.1810417771339417,0.5388,0.6380666666666667,0.057
0.7675346918404102,0.483267055824399,11.291443359375,3.4513410180807114,0.14179999999999998,0.8952666666666667,0.449
0.6513875909149647,0.6364919245243073,12.4238935546875,3.5071570426225662,0.975,0.9434666666666666,0.505
0.7640337571501732,0.5313829053193331,11.441953125,2.849857695400715,0.5334,0.514,0.529
0.9087409824132919,0.6741713732481003,11.27446875,2.994668483734131,0.8996000000000001,0.7074333333333332,0.881
0.6210186518728733,10.064128041267395,6.5834521484375,3.468845784664154,0.6155999999999999,0.8523999999999999,0.214
0.8738186210393906,1.4970120042562485,8.57669140625,2.935088239610195,0.1096,0.4892333333333333,0.142
0.7076545618474483,1.5569210052490234,11.3003876953125,3.2400112599134445,0.4822,0.7255666666666667,0.274
0.5572333466261625,27.004587650299072,5.81091748046875,3.5594113171100616,0.7632,0.9139666666666667,0.242
0.8622757159173489,0.7124564610421658,11.2309169921875,3.34707610309124,0.48840000000000006,0.9213666666666666,0.822
0.7545683532953262,1.7408901825547218,12.928470703125,2.5260204449295998,0.8398,0.18203333333333335,0.368
0.9577463380992413,0.7399891037493944,11.22194921875,2.56756991147995,0.41180000000000005,0.3427,0.856
1.0650916956365108,0.721138808876276,11.239236328125,2.6320284232497215,0.8348000000000001,0.4333666666666666,0.968
0.8195823058485985,0.5633509252220392,11.24176953125,2.7722470462322235,0.0322,0.4506,0.52
