I,u_per,soc,s,sdot,C
2.986929416656494,0.6533333333333334,0.9810008,0.0053784274,0.1746969,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98083407,0.0054269717,0.17476723,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9806674,0.005475535,0.1748373,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98050076,0.0055241175,0.17490742,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9803341,0.00557272,0.1749776,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98016745,0.0056213415,0.1750476,0.12000000461972075
2.986929416656494,0.6533333333333334,0.98000073,0.005669982,0.17511772,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9798341,0.005718643,0.17518786,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9796674,0.005767323,0.17525792,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9795008,0.005816023,0.17532796,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9793341,0.005864742,0.17539802,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9791674,0.0059134807,0.17546809,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97900075,0.0059622386,0.17553811,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9788341,0.006011016,0.17560808,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97866744,0.0060598133,0.17567807,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9785008,0.0061086295,0.17574804,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97833407,0.0061574653,0.17581809,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9781674,0.00620632,0.17588808,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97800076,0.006255195,0.17595811,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9778341,0.006304089,0.176028,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97766745,0.006353002,0.17609788,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97750074,0.0064019347,0.1761679,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9773341,0.006450888,0.17623776,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9771674,0.00649986,0.17630768,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9770008,0.0065488513,0.17637756,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9768341,0.0065978626,0.17644742,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9766674,0.006646893,0.17651726,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97650075,0.006695943,0.17658713,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9763341,0.006745012,0.17665693,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97616744,0.0067941006,0.17672671,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9760008,0.006843209,0.17679654,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9758341,0.006892336,0.17686641,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9756674,0.0069414834,0.17693616,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97550076,0.0069906493,0.17700593,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9753341,0.0070398347,0.17707567,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97516745,0.007089039,0.17714539,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97500074,0.007138263,0.17721517,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9748341,0.007187506,0.17728487,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97466743,0.007236769,0.17735463,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9745008,0.007286051,0.1774243,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9743341,0.0073353527,0.17749391,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9741674,0.007384673,0.17756371,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97400075,0.0074340138,0.17763333,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9738341,0.0074833734,0.177703,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97366744,0.0075327526,0.17777258,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9735008,0.0075821513,0.17784223,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9733341,0.007631569,0.17791182,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9731674,0.0076810066,0.17798147,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97300076,0.0077304626,0.17805102,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9728341,0.007779938,0.17812048,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97266746,0.007829433,0.17819011,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97250074,0.007878948,0.17825966,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9723341,0.007928481,0.17832918,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97216743,0.007978034,0.17839868,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9720008,0.008027608,0.17846818,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9718341,0.0080772,0.17853764,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9716674,0.00812681,0.17860721,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97150075,0.00817644,0.17867659,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9713341,0.00822609,0.17874609,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97116745,0.0082757585,0.17881553,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9710008,0.008325447,0.17888491,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9708341,0.008375155,0.17895438,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9706674,0.008424881,0.17902376,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97050077,0.008474627,0.17909315,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9703341,0.008524393,0.17916253,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97016746,0.0085741775,0.17923182,0.12000000461972075
2.986929416656494,0.6533333333333334,0.97000074,0.008623981,0.1793012,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9698341,0.008673804,0.17937051,0.12000000461972075
2.986929416656494,0.6533333333333334,0.96966743,0.008723646,0.17943978,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9695008,0.008773508,0.17950909,0.12000000461972075
2.986929416656494,0.6533333333333334,0.96933407,0.008823389,0.1795784,0.12000000461972075
2.986929416656494,0.6533333333333334,0.9691674,0.008873289,0.17964767,0.12000000461972075
2.986929416656494,0.6533333333333334,0.96900076,0.008923208,0.17971691,0.12000000461972075
0.0,0.6533333333333334,0.96891123,0.008973148,0.02865394,0.0
0.0,0.6533333333333334,0.96891123,0.00898111,0.028652372,0.0
0.0,0.6533333333333334,0.96891123,0.0089890715,0.028650789,0.0
0.0,0.6533333333333334,0.96891123,0.008997032,0.02864922,0.0
0.0,0.6533333333333334,0.96891123,0.009004993,0.028647644,0.0
0.0,0.6533333333333334,0.96891123,0.009012953,0.028646076,0.0
0.0,0.6533333333333334,0.96891123,0.009020913,0.028644495,0.0
0.0,0.6533333333333334,0.96891123,0.009028873,0.028642925,0.0
0.0,0.6533333333333334,0.96891123,0.0090368325,0.02864135,0.0
0.0,0.6533333333333334,0.96891123,0.009044791,0.028639775,0.0
0.0,0.6533333333333334,0.96891123,0.00905275,0.028638206,0.0
