trajectory,C,u_per,I,u,soc,R1,C1,R0,k
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9776056,0.008429638,774.41174,0.008937672,0.031752802
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97744447,0.00842939,774.4223,0.008937672,0.031753536
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97728336,0.008429141,774.433,0.008937672,0.03175425
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97712225,0.00842889,774.44354,0.008937672,0.03175498
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97696114,0.008428639,774.4542,0.008937672,0.031755712
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9768,0.0084283855,774.46484,0.008937672,0.031756435
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9766389,0.008428136,774.47546,0.008937672,0.03175715
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9764778,0.0084278835,774.48615,0.008937672,0.031757887
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9763167,0.0084276255,774.49677,0.008937672,0.031758603
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9761556,0.008427373,774.5073,0.008937672,0.031759333
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97599447,0.008427118,774.51807,0.008937672,0.03176006
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97583336,0.008426866,774.5287,0.008937672,0.03176077
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97567225,0.008426607,774.5393,0.008937672,0.03176151
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97551113,0.00842635,774.55,0.008937672,0.031762227
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.97535,0.008426091,774.5606,0.008937672,0.031762965
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9751889,0.0084258355,774.5712,0.008937672,0.031763677
0,0.58,25.6,2.8873649912785218,-3.679552099533437,0.9750278,0.0084255785,774.5819,0.008937672,0.031764403
