% Model:              JH_0104_coupled_lib_model_1d.mph
% Version:            COMSOL 6.3.0.420
% Date:               Apr 1 2026, 11:40
% Dimension:          0
% Nodes:              15406
% Expressions:        5
% Description:        Point Probe 1, , , , Open-circuit cell voltage
% u_par                   C_par                    t                        E_cell (V)               -I_cell (A)              -Rx_cell (N)             -u_cell (m)              E_ocv_cell (V)
27                        1.1                      2292                     3.5556790900171706       5.4760370524247834       1.5232468841776161E9     -3.880777604976672E-5    3.64333292645323
27                        1.1                      2294                     3.5552733963876886       5.4760370524247834       1.522775726328761E9      -3.880777604976672E-5    3.642983364372537
27                        1.1                      2296                     3.55486727429628         5.4760370524247834       1.52230456847983E9       -3.880777604976672E-5    3.6426338022918445
27                        1.1                      2298                     3.554460723742946        5.4760370524247834       1.521833410630902E9      -3.880777604976672E-5    3.642268751659732
27                        1.1                      2300                     3.5540537447276854       5.4760370524247834       1.521362252781936E9      -3.880777604976672E-5    3.64189533150623
27                        1.1                      2302                     3.5536463372504987       5.4760370524247834       1.5208910949330566E9     -3.880777604976672E-5    3.6415219113527284
27                        1.1                      2304                     3.553238501311386        5.4760370524247834       1.520419937084178E9      -3.880777604976672E-5    3.6411484911992265
27                        1.1                      2306                     3.552830236910347        5.4760370524247834       1.5199487792352223E9     -3.880777604976672E-5    3.6407750710457245
27                        1.1                      2308                     3.5524215440473816       5.4760370524247834       1.519477621386273E9      -3.880777604976672E-5    3.6404016508922235
27                        1.1                      2310                     3.5520124227224903       5.4760370524247834       1.5190064635374045E9     -3.880777604976672E-5    3.640028230738721
27                        1.1                      2312                     3.5516028729356726       5.4760370524247834       1.5185353056884155E9     -3.880777604976672E-5    3.6396548105852196
27                        1.1                      2314                     3.551192894686929        5.4760370524247834       1.5180641478395963E9     -3.880777604976672E-5    3.639281390431718
27                        1.1                      2316                     3.550782487976259        5.4760370524247834       1.5175929899906185E9     -3.880777604976672E-5    3.638907970278216
27                        1.1                      2318                     3.550371652803663        5.4760370524247834       1.517121832141682E9      -3.880777604976672E-5    3.638534550124714
27                        1.1                      2320                     3.5499603891691405       5.4760370524247834       1.5166506742927084E9     -3.880777604976672E-5    3.6381611299712127
27                        1.1                      2322                     3.549548697072692        5.4760370524247834       1.5161795164439E9        -3.880777604976672E-5    3.6377877098177103
27                        1.1                      2324                     3.549136576514318        5.4760370524247834       1.5157083585949423E9     -3.880777604976672E-5    3.6374142896642097
27                        1.1                      2326                     3.548724027494017        5.4760370524247834       1.5152372007460153E9     -3.880777604976672E-5    3.6370408695107077
27                        1.1                      2328                     3.54831105001179         5.4760370524247834       1.5147660428971012E9     -3.880777604976672E-5    3.6366674493572058
27                        1.1                      2330                     3.547897644067637        5.4760370524247834       1.514294885048185E9      -3.880777604976672E-5    3.6362940292037043
27                        1.1                      2332                     3.5474838096615575       5.4760370524247834       1.5138237271992314E9     -3.880777604976672E-5    3.6359206090502023
27                        1.1                      2334                     3.547069546793552        5.4760370524247834       1.5133525693503215E9     -3.880777604976672E-5    3.635547188896701
27                        1.1                      2336                     3.54665485546362         5.4760370524247834       1.5128814115014238E9     -3.880777604976672E-5    3.6351617469729947
27                        1.1                      2338                     3.5462397356717625       5.4760370524247834       1.5124102536525245E9     -3.880777604976672E-5    3.6347591519470273
27                        1.1                      2340                     3.5458189831279165       5.4760370524247834       1.5119390958036025E9     -3.880777604976672E-5    3.6343565569210603
27                        1.1                      2342                     3.5453935821440203       5.4760370524247834       1.5114679379546416E9     -3.880777604976672E-5    3.633953961895094
27                        1.1                      2344                     3.544967081704931        5.4760370524247834       1.5109967801056848E9     -3.880777604976672E-5    3.6335513668691273
27                        1.1                      2346                     3.5445394818106477       5.4760370524247834       1.5105256222568152E9     -3.880777604976672E-5    3.6331487718431603
27                        1.1                      2348                     3.5441107824611713       5.4760370524247834       1.5100544644078496E9     -3.880777604976672E-5    3.632746176817193
27                        1.1                      2350                     3.5436809836565017       5.4760370524247834       1.5095833065589821E9     -3.880777604976672E-5    3.632343581791226
27                        1.1                      2352                     3.5432500853966387       5.4760370524247834       1.5091121487100163E9     -3.880777604976672E-5    3.631940986765259
27                        1.1                      2354                     3.5428180876815825       5.4760370524247834       1.5086409908610873E9     -3.880777604976672E-5    3.631538391739293
27                        1.1                      2356                     3.5423849905113327       5.4760370524247834       1.508169833012251E9      -3.880777604976672E-5    3.6311357967133255
27                        1.1                      2358                     3.5419507938858894       5.4760370524247834       1.5076986751632867E9     -3.880777604976672E-5    3.6307332016873586
27                        1.1                      2360                     3.5415154978052525       5.4760370524247834       1.5072275173143158E9     -3.880777604976672E-5    3.6303306066613916
27                        1.1                      2362                     3.5410791022694226       5.4760370524247834       1.5067563594654298E9     -3.880777604976672E-5    3.6299280116354247
27                        1.1                      2364                     3.5406416072784          5.4760370524247834       1.5062852016165357E9     -3.880777604976672E-5    3.6295254166094577
27                        1.1                      2366                     3.5402030128321833       5.4760370524247834       1.5058140437675786E9     -3.880777604976672E-5    3.629122821583491
27                        1.1                      2368                     3.539763318930773        5.4760370524247834       1.5053428859186406E9     -3.880777604976672E-5    3.628720226557524
27                        1.1                      2370                     3.5393225255741694       5.4760370524247834       1.504871728069748E9      -3.880777604976672E-5    3.6283176315315573
27                        1.1                      2372                     3.5388806327623725       5.4760370524247834       1.504400570220808E9      -3.880777604976672E-5    3.6279150365055908
27                        1.1                      2374                     3.538437640495383        5.4760370524247834       1.5039294123719215E9     -3.880777604976672E-5    3.627506673227405
27                        1.1                      2376                     3.5379935487731995       5.4760370524247834       1.50345825452302E9       -3.880777604976672E-5    3.627071102191495
27                        1.1                      2378                     3.5375483575958224       5.4760370524247834       1.502987096674084E9      -3.880777604976672E-5    3.626635531155585
27                        1.1                      2380                     3.5371020669632522       5.4760370524247834       1.5025159388251734E9     -3.880777604976672E-5    3.6261999601196755
27                        1.1                      2382                     3.536654676875489        5.4760370524247834       1.5020447809762297E9     -3.880777604976672E-5    3.6257643890837654
27                        1.1                      2384                     3.536206187332532        5.4760370524247834       1.5015736231272979E9     -3.880777604976672E-5    3.625328818047855
27                        1.1                      2386                     3.5357565983343817       5.4760370524247834       1.5011024652783816E9     -3.880777604976672E-5    3.624893247011945
27                        1.1                      2388                     3.5353059098810378       5.4760370524247834       1.500631307429442E9      -3.880777604976672E-5    3.6244576759760356
27                        1.1                      2390                     3.5348541219725007       5.4760370524247834       1.5001601495805695E9     -3.880777604976672E-5    3.6240221049401256
27                        1.1                      2392                     3.53437741518835         5.4760370524247834       1.4996889917315996E9     -3.880777604976672E-5    3.6235865339042155
27                        1.1                      2394                     3.5338853803813555       5.4760370524247834       1.4992178338826847E9     -3.880777604976672E-5    3.623150962868305
27                        1.1                      2396                     3.53338955250397         5.4760370524247834       1.4987466760337577E9     -3.880777604976672E-5    3.6227153918323953
27                        1.1                      2398                     3.5328899315561935       5.4760370524247834       1.4982755181848114E9     -3.880777604976672E-5    3.6222798207964853
27                        1.1                      2400                     3.5323865175380265       5.4760370524247834       1.4978043603359032E9     -3.880777604976672E-5    3.6218442497605756
27                        1.1                      2402                     3.5318793104494675       5.4760370524247834       1.4973332024869862E9     -3.880777604976672E-5    3.6214086787246655
27                        1.1                      2404                     3.5313683102905182       5.4760370524247834       1.4968620446380744E9     -3.880777604976672E-5    3.620973107688755
27                        1.1                      2406                     3.530853517061178        5.4760370524247834       1.4963908867891767E9     -3.880777604976672E-5    3.620537536652845
27                        1.1                      2408                     3.530334930761446        5.4760370524247834       1.495919728940219E9      -3.880777604976672E-5    3.6201019656169353
27                        1.1                      2410                     3.529812551391324        5.4760370524247834       1.4954485710913315E9     -3.880777604976672E-5    3.6196663945810257
27                        1.1                      2412                     3.52928637895081         5.4760370524247834       1.494977413242387E9      -3.880777604976672E-5    3.6192308235451156
27                        1.1                      2414                     3.5287564134399054       5.4760370524247834       1.4945062553935134E9     -3.880777604976672E-5    3.6187625658883644
27                        1.1                      2416                     3.52822265485861         5.4760370524247834       1.4940350975445523E9     -3.880777604976672E-5    3.6182921397686556
27                        1.1                      2418                     3.5276851032069234       5.4760370524247834       1.4935639396956146E9     -3.880777604976672E-5    3.617821713648947
27                        1.1                      2420                     3.527143758484846        5.4760370524247834       1.4930927818467405E9     -3.880777604976672E-5    3.617351287529238
27                        1.1                      2422                     3.526598620692377        5.4760370524247834       1.4926216239977853E9     -3.880777604976672E-5    3.616880861409529
27                        1.1                      2424                     3.5260496898295175       5.4760370524247834       1.4921504661488936E9     -3.880777604976672E-5    3.6164104352898208
27                        1.1                      2426                     3.525496965896267        5.4760370524247834       1.491679308299947E9      -3.880777604976672E-5    3.6159400091701115
27                        1.1                      2428                     3.5249404488926253       5.4760370524247834       1.4912081504510772E9     -3.880777604976672E-5    3.6154695830504022
27                        1.1                      2430                     3.5243801388185925       5.4760370524247834       1.4907369926021142E9     -3.880777604976672E-5    3.6149991569306943
27                        1.1                      2432                     3.523816035674169        5.4760370524247834       1.4902658347532072E9     -3.880777604976672E-5    3.614528730810985
27                        1.1                      2434                     3.523248139459354        5.4760370524247834       1.4897946769042928E9     -3.880777604976672E-5    3.6140583046912766
