% Model,JH_0516_pulse_hyperelastic_NeoHook - Copy.mph
% Version,COMSOL 6.3.0.420
% Date,"May 18 2026, 17:40"
% Dimension,1
% Nodes,60
% Expressions,6
% Description,"Insertion particle concentration, particle average, Volumetric strain"
% X,liion.cs_average (mol/m^3) @ t=0,solid.evol (1) @ t=0,liion.cs_average (mol/m^3) @ t=1799,solid.evol (1) @ t=1799,liion.cs_average (mol/m^3) @ t=2999,solid.evol (1) @ t=2999
8.353465071578054E-5,NaN,2.2980045024965614E-8,NaN,-0.023293364753215116,NaN,-0.03842555503897461
8.353465071578054E-5,NaN,2.2980045024965614E-8,NaN,-0.023293364753215116,NaN,-0.03842555503897461
8.546781831334183E-5,NaN,2.2980045019921215E-8,NaN,-0.023293364753215168,NaN,-0.03842555503897631
8.546781831334183E-5,NaN,2.2980045019921215E-8,NaN,-0.023293364753215168,NaN,-0.03842555503897631
8.75956322596863E-5,NaN,2.2980045014562567E-8,NaN,-0.023293364753215334,NaN,-0.03842555503897461
8.75956322596863E-5,NaN,2.2980045014562567E-8,NaN,-0.023293364753215334,NaN,-0.03842555503897461
8.986937551636344E-5,NaN,2.298004500906294E-8,NaN,-0.02329336475321539,NaN,-0.038425555038975566
8.986937551636344E-5,NaN,2.298004500906294E-8,NaN,-0.02329336475321539,NaN,-0.038425555038975566
9.199718946270791E-5,NaN,2.2980045004127015E-8,NaN,-0.02329336475321593,NaN,-0.03842555503897589
9.199718946270791E-5,NaN,2.2980045004127015E-8,NaN,-0.02329336475321593,NaN,-0.03842555503897589
9.393035706026919E-5,NaN,2.2980044999818105E-8,NaN,-0.023293364753215386,NaN,-0.038425555038974823
9.393035706026919E-5,NaN,2.2980044999818105E-8,NaN,-0.023293364753215386,NaN,-0.038425555038974823
9.568689617470116E-5,NaN,2.29800449960469E-8,NaN,-0.023293364753215442,NaN,-0.03842555503897589
9.568689617470116E-5,NaN,2.29800449960469E-8,NaN,-0.023293364753215442,NaN,-0.03842555503897589
9.72824093632053E-5,NaN,2.2980044992741142E-8,NaN,-0.023293364753214574,NaN,-0.038425555038974185
9.72824093632053E-5,NaN,2.2980044992741142E-8,NaN,-0.023293364753214574,NaN,-0.038425555038974185
9.873250388802487E-5,NaN,2.2980044989835025E-8,NaN,-0.02329336475321685,NaN,-0.03842555503897717
9.873250388802487E-5,658.4488054642135,2.996056018670789E-8,24664.530166845685,0.03943447716270004,40208.95700095942,0.06567935017172628
1.0016830192982119E-4,658.4484320700489,2.917732005162859E-8,24607.841442094606,0.03930938932013504,40162.71705723313,0.06557403018653096
1.0174405652505161E-4,658.4480431503631,2.83615136844956E-8,24547.93262931237,0.03917721653352044,40112.935745645365,0.0654606582501034
1.0347576711004407E-4,658.4476381360827,2.751194660443778E-8,24484.858624678614,0.03903808329461395,40060.24759970266,0.06534068231513981
1.0538266864015404E-4,658.4472188294241,2.6632399335245643E-8,24418.897256003114,0.03889260579938792,40004.99540392345,0.06521488549399071
1.0747850107798736E-4,658.4467894404938,2.5731703634395417E-8,24350.525850104284,0.03874183986058795,39947.53982407052,0.06508409128108425
1.0978264122676689E-4,658.4463545089678,2.481938154941104E-8,24280.07678151761,0.038586521047395614,39888.35141321016,0.06494937287119726
1.1231599508730532E-4,658.4459201328372,2.3908224868100725E-8,24209.030766573695,0.03842991571281838,39828.07287515901,0.06481219460319673
1.151012184963887E-4,658.4454942741434,2.3014933717405255E-8,24139.3249933615,0.03827629369376529,39767.69052112728,0.06467480169580725
1.1816470944401775E-4,658.4450869424059,2.2160505799409188E-8,24070.741947120005,0.038125173714266714,39707.07382941382,0.06453689734978814
1.215330947174287E-4,658.4447112682049,2.1372482958338624E-8,24005.340467518756,0.03798108984663069,39649.013680055374,0.06440482966498162
1.2523620608316196E-4,658.4443836847906,2.0685336878616606E-8,23945.437400852643,0.037849141327329194,39595.768931199855,0.06428373303355786
1.293081290941131E-4,658.4441249347998,2.014257734367754E-8,23894.070213910098,0.03773601153989771,39550.004436698946,0.06417966250717343
1.3378593471285945E-4,658.4439610806558,1.9798873401352735E-8,23855.050728759157,0.03765008635984851,39515.14598894454,0.0641004011853277
1.3868390804367813E-4,658.4439265417162,1.972642377146927E-8,23833.485982357983,0.03760260226385348,39495.7612416889,0.06405632717784865
1.4373250388802488E-4,658.444049341382,1.998401121070071E-8,23834.388436100387,0.037604589382552706,39496.34328886418,0.06405765053629822
