% Model:              2_2603_JH_lib_coupled_model.mph
% Version:            COMSOL 6.3.0.420
% Date:               Mar 26 2026, 17:17
% Dimension:          0
% Nodes:              2711
% Expressions:        4
% Description:        Point Probe 1, Point Probe 3, Point Probe 2, Point Probe 4
% u_par                   t                        point1 (V)               point3 (N)               point2 (A)               point4 (m)
1.1                       5292                     3.7120864483864366       1.6320234718845034E8     1.4768238373834388       1.636057542768274E-6
1.1                       5328                     3.708717252110937        1.6463081332671258E8     1.4768238373834388       1.636057542768274E-6
1.1                       5364                     3.705114553017391        1.6605781142513114E8     1.4768238373834388       1.636057542768274E-6
1.1                       5400                     3.701366462429127        1.6748331470136473E8     1.4768238373834388       1.636057542768274E-6
1.1                       5436                     3.6974774648581          1.689073217922999E8      1.4768238373834388       1.636057542768274E-6
1.1                       5472                     3.6934475603043095       1.703298326979368E8      1.4768238373834388       1.636057542768274E-6
1.1                       5508                     3.6893239484908906       1.7175085903056556E8     1.4768238373834388       1.636057542768274E-6
1.1                       5544                     3.6851995896817717       1.7317042366069287E8     1.4768238373834388       1.636057542768274E-6
1.1                       5580                     3.6809939734211983       1.7458850678077054E8     1.4768238373834388       1.636057542768274E-6
1.1                       5616                     3.67670709970917         1.7600510839079857E8     1.4768238373834388       1.636057542768274E-6
1.1                       5652                     3.672338968545689        1.7742022849077684E8     1.4768238373834388       1.636057542768274E-6
1.1                       5688                     3.6680839868765664       1.7883388972044444E8     1.4768238373834388       1.636057542768274E-6
1.1                       5724                     3.663932267385851        1.8024609092836967E8     1.4768238373834388       1.636057542768274E-6
1.1                       5760                     3.6598076568026454       1.816568232460932E8      1.4768238373834388       1.636057542768274E-6
1.1                       5796                     3.655710155126949        1.830660866736148E8      1.4768238373834388       1.636057542768274E-6
1.1                       5832                     3.65164779577467         1.8447367824599648E8     1.4768238373834388       1.636057542768274E-6
1.1                       5868                     3.647855841750213        1.8587405788394547E8     1.4768238373834388       1.636057542768274E-6
1.1                       5904                     3.644063887725756        1.872744375218945E8      1.4768238373834388       1.636057542768274E-6
1.1                       5940.000000000001        3.640271933701299        1.886748171598435E8      1.4768238373834388       1.636057542768274E-6
1.1                       5976.000000000001        3.6364799796768423       1.9007519679779246E8     1.4768238373834388       1.636057542768274E-6
1.1                       6012                     3.6326477654572478       1.914732547928688E8      1.4768238373834388       1.636057542768274E-6
1.1                       6048                     3.628751507698224        1.9286761965565056E8     1.4768238373834388       1.636057542768274E-6
1.1                       6084                     3.624855249939201        1.9426198451843226E8     1.4768238373834388       1.636057542768274E-6
1.1                       6120                     3.6209589921801775       1.9565634938121402E8     1.4768238373834388       1.636057542768274E-6
1.1                       6156                     3.6169540112116088       1.9705016619474357E8     1.4768238373834388       1.636057542768274E-6
1.1                       6192                     3.6125302984934597       1.984418722756778E8      1.4768238373834388       1.636057542768274E-6
1.1                       6228                     3.6077471567240367       1.9983264918619713E8     1.4768238373834388       1.636057542768274E-6
1.1                       6264                     3.6022958222339008       2.012216987324273E8      1.4768238373834388       1.636057542768274E-6
1.1                       6300                     3.59630903278051         2.0260969764097768E8     1.4768238373834388       1.636057542768274E-6
1.1                       6336                     3.5897703851413265       2.039966002899632E8      1.4768238373834388       1.636057542768274E-6
1.1                       6372                     3.5830070560504          2.0538162116319028E8     1.4768238373834388       1.636057542768274E-6
1.1                       6408                     3.5737930118533145       2.0676600378004235E8     1.4768238373834388       1.636057542768274E-6
1.1                       6444                     3.5624584247152056       2.0814889765052897E8     1.4768238373834388       1.636057542768274E-6
1.1                       6480                     3.551109614681997        2.0952985163361555E8     1.4768238373834388       1.636057542768274E-6
1.1                       6516                     3.539595005449255        2.1090998472786105E8     1.4768238373834388       1.636057542768274E-6
1.1                       6552                     3.520095633191424        2.1228880982611144E8     1.4768238373834388       1.636057542768274E-6
1.1                       6588                     3.498693396548246        2.1366569038012183E8     1.4768238373834388       1.636057542768274E-6
1.1                       6624                     3.4772769255156764       2.150412425663731E8      1.4768238373834388       1.636057542768274E-6
