trajectory,C,u_per,I,u,soc,R1,C1,R0,k
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41822222,0.01087437,1594.6436,0.007111851,0.06019543
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4171528,0.010887737,1594.7001,0.007111851,0.06022512
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41608334,0.010901113,1594.7566,0.007111851,0.060254853
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41501388,0.010914498,1594.813,0.007111851,0.06028461
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41394445,0.010927891,1594.8694,0.007111851,0.060314413
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.412875,0.010941293,1594.9258,0.007111851,0.060344256
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.41180557,0.010954703,1594.982,0.007111851,0.060374126
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4107361,0.010968124,1595.0383,0.007111851,0.06040404
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40966666,0.010981551,1595.0944,0.007111851,0.060433965
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40859723,0.010994988,1595.1504,0.007111851,0.06046394
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40752777,0.011008431,1595.2065,0.007111851,0.060493965
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40645835,0.011021886,1595.2626,0.007111851,0.060524017
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.4053889,0.011035348,1595.3185,0.007111851,0.060554102
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40431944,0.011048819,1595.3744,0.007111851,0.060584217
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40325,0.011062298,1595.4303,0.007111851,0.060614385
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40218055,0.011075784,1595.4861,0.007111851,0.06064458
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40111113,0.01108928,1595.5417,0.007111851,0.06067481
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.40004167,0.011102785,1595.5975,0.007111851,0.060705077
74,3.85,0.6,19.16612968348674,-0.0862395023328149,0.3989722,0.011116298,1595.6531,0.007111851,0.06073539
