(21, 969) 	 Gradient of separator electrolyte potential [V.m-1]
(20, 969) 	 Positive electrolyte potential [V]
(969,) 	 X-averaged positive electrolyte potential [V]
(21, 969) 	 Gradient of positive electrolyte potential [V.m-1]
(969,) 	 Ambient temperature [K]
(969,) 	 Volume-averaged ambient temperature [K]
(60, 969) 	 Cell temperature [K]
(969,) 	 Negative current collector temperature [K]
(969,) 	 Positive current collector temperature [K]
(969,) 	 X-averaged cell temperature [K]
(969,) 	 Volume-averaged cell temperature [K]
(20, 969) 	 Negative electrode temperature [K]
(969,) 	 X-averaged negative electrode temperature [K]
(20, 969) 	 Separator temperature [K]
(969,) 	 X-averaged separator temperature [K]
(20, 969) 	 Positive electrode temperature [K]
(969,) 	 X-averaged positive electrode temperature [K]
(969,) 	 Ambient temperature [C]
(969,) 	 Volume-averaged ambient temperature [C]
(60, 969) 	 Cell temperature [C]
(969,) 	 Negative current collector temperature [C]
(969,) 	 Positive current collector temperature [C]
(969,) 	 X-averaged cell temperature [C]
(969,) 	 Volume-averaged cell temperature [C]
(20, 969) 	 Negative electrode temperature [C]
(969,) 	 X-averaged negative electrode temperature [C]
(20, 969) 	 Separator temperature [C]
(969,) 	 X-averaged separator temperature [C]
(20, 969) 	 Positive electrode temperature [C]
(969,) 	 X-averaged positive electrode temperature [C]
(969,) 	 Negative current collector potential [V]
(20, 969) 	 Negative SEI concentration [mol.m-3]
(969,) 	 X-averaged negative SEI concentration [mol.m-3]
(969,) 	 Volume-averaged negative SEI concentration [mol.m-3]
(969,) 	 Loss of lithium to negative SEI [mol]
(969,) 	 Loss of capacity to negative SEI [A.h]
(20, 969) 	 Negative electrode SEI interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode SEI interfacial current density [A.m-2]
(20, 969) 	 Positive SEI concentration [mol.m-3]
(969,) 	 X-averaged positive SEI concentration [mol.m-3]
(969,) 	 Volume-averaged positive SEI concentration [mol.m-3]
(969,) 	 Loss of lithium to positive SEI [mol]
(969,) 	 Loss of capacity to positive SEI [A.h]
(20, 969) 	 Positive electrode SEI interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode SEI interfacial current density [A.m-2]
(20, 969) 	 Negative SEI on cracks concentration [mol.m-3]
(969,) 	 X-averaged negative SEI on cracks concentration [mol.m-3]
(969,) 	 Volume-averaged negative SEI on cracks concentration [mol.m-3]
(969,) 	 Loss of lithium to negative SEI on cracks [mol]
(969,) 	 Loss of capacity to negative SEI on cracks [A.h]
(20, 969) 	 Negative electrode SEI on cracks interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
(20, 969) 	 Positive SEI on cracks concentration [mol.m-3]
(969,) 	 X-averaged positive SEI on cracks concentration [mol.m-3]
(969,) 	 Volume-averaged positive SEI on cracks concentration [mol.m-3]
(969,) 	 Loss of lithium to positive SEI on cracks [mol]
(969,) 	 Loss of capacity to positive SEI on cracks [A.h]
(20, 969) 	 Positive electrode SEI on cracks interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
(20, 969) 	 Negative lithium plating concentration [mol.m-3]
(969,) 	 X-averaged negative lithium plating concentration [mol.m-3]
(969,) 	 Volume-averaged negative lithium plating concentration [mol.m-3]
(20, 969) 	 Negative dead lithium concentration [mol.m-3]
(969,) 	 X-averaged negative dead lithium concentration [mol.m-3]
(969,) 	 Volume-averaged negative dead lithium concentration [mol.m-3]
(20, 969) 	 Negative lithium plating thickness [m]
(969,) 	 X-averaged negative lithium plating thickness [m]
(969,) 	 Volume-averaged negative lithium plating thickness [m]
(20, 969) 	 Negative dead lithium thickness [m]
(969,) 	 X-averaged negative dead lithium thickness [m]
(969,) 	 Volume-averaged negative dead lithium thickness [m]
(969,) 	 Loss of lithium to negative lithium plating [mol]
(969,) 	 Loss of capacity to negative lithium plating [A.h]
(20, 969) 	 Negative electrode lithium plating interfacial current density [A.m-2]
(969,) 	 X-averaged negative electrode lithium plating interfacial current density [A.m-2]
(20, 969) 	 Negative electrode lithium plating reaction overpotential [V]
(969,) 	 X-averaged negative electrode lithium plating reaction overpotential [V]
(20, 969) 	 Positive lithium plating concentration [mol.m-3]
(969,) 	 X-averaged positive lithium plating concentration [mol.m-3]
(969,) 	 Volume-averaged positive lithium plating concentration [mol.m-3]
(20, 969) 	 Positive dead lithium concentration [mol.m-3]
(969,) 	 X-averaged positive dead lithium concentration [mol.m-3]
(969,) 	 Volume-averaged positive dead lithium concentration [mol.m-3]
(20, 969) 	 Positive lithium plating thickness [m]
(969,) 	 X-averaged positive lithium plating thickness [m]
(969,) 	 Volume-averaged positive lithium plating thickness [m]
(20, 969) 	 Positive dead lithium thickness [m]
(969,) 	 X-averaged positive dead lithium thickness [m]
(969,) 	 Volume-averaged positive dead lithium thickness [m]
(969,) 	 Loss of lithium to positive lithium plating [mol]
(969,) 	 Loss of capacity to positive lithium plating [A.h]
(20, 969) 	 Positive electrode lithium plating interfacial current density [A.m-2]
(969,) 	 X-averaged positive electrode lithium plating interfacial current density [A.m-2]
(20, 969) 	 Positive electrode lithium plating reaction overpotential [V]
(969,) 	 X-averaged positive electrode lithium plating reaction overpotential [V]
(20, 969) 	 Negative crack surface to volume ratio [m-1]
(20, 969) 	 Negative electrode roughness ratio
(969,) 	 X-averaged negative electrode roughness ratio
(20, 969) 	 Positive crack surface to volume ratio [m-1]
(20, 969) 	 Positive electrode roughness ratio
(969,) 	 X-averaged positive electrode roughness ratio
(60, 969) 	 Electrolyte transport efficiency
(20, 969) 	 Negative electrolyte transport efficiency
(969,) 	 X-averaged negative electrolyte transport efficiency
(20, 969) 	 Separator electrolyte transport efficiency
(969,) 	 X-averaged separator electrolyte transport efficiency
(20, 969) 	 Positive electrolyte transport efficiency
(969,) 	 X-averaged positive electrolyte transport efficiency
(60, 969) 	 Electrode transport efficiency
(20, 969) 	 Negative electrode transport efficiency
(969,) 	 X-averaged negative electrode transport efficiency
(20, 969) 	 Separator electrode transport efficiency
(969,) 	 X-averaged separator electrode transport efficiency
(20, 969) 	 Positive electrode transport efficiency
(969,) 	 X-averaged positive electrode transport efficiency
(20, 969) 	 Separator volume-averaged velocity [m.s-1]
(20, 969) 	 Separator volume-averaged acceleration [m.s-2]
(969,) 	 X-averaged separator volume-averaged acceleration [m.s-2]
